filename	dwc:catalogNumber	dwc:recordedBy	dwc:recordNumber	dwc:verbatimEventDate	aocr:verbatimScientificName	aocr:verbatimInstitution	dwc:datasetName	dwc:verbatimLocality	dwc:country	dwc:stateProvince	dwc:county	dwc:verbatimLatitude	dwc:verbatimLongitude	dwc:eventDate	dwc:scientificName	dwc:decimalLatitude	dwc:decimalLongitude	dwc:fieldNotes	dwc:sex	dwc:identifiedBy	dwc:dateIdentified	dwc:habitat	dwc:verbatimElevation
EMEC609916_Stigmus_sp.jpg	EMEC 609,916	R. Wharton		IV-8-75		U.C. Berkeley		CALIF:Monterey Co. 5 air mi SW Green- field,Arroyo Seco River 400'		California	Monterey			1975-05-08				Flight trap					400'
EMEC609685_Cerceris_conifrons.jpg	EMEC 609,685	R. E. Coville		31-VIII-1977		U.C. Berkeley		Ariz.: Cochise Co. 1 mi. NE Portal, on Rd. to San Simon at Cave Cr.		Arizona	Cochise			1977-08-31									
EMEC609600_Cerceris_compacta.jpg	EMEC 609,600	R.E.Coville		4-IX-1978		U.C. Berkeley		Ariz.:Cochise Co., Stateline Rd.,1 mi. NW Rodeo, N. Mex.			Cochise			1978-09-04									4100'
EMEC609590_Cerceris_compacta.jpg	EMEC 609,590	J.R.Powers		V-16-1979		U.C. Berkeley		15 kmS San Juan del Rio, Qro.,Mex.						1979-05-16									
EMEC609889_Cerceris_convergens.jpg	EMEC 609,889	W.J.Turner		VII-11-67		U.C. Berkeley		Topaz Lake, Douglas Co. NEV.		Nevada	Douglas			1967-07-11									
EMEC609841_Cerceris_convergens.jpg	EMEC 609,841	J. W. MacSwain		VII-2 53	Cerceris convergens V.& C.	U.C. Berkeley		Mazourka Canyon Inyo Co. Cal.		California	Inyo			1953-07-02					male	H.A.Scullen	58		
EMEC609711_Cerceris_convergens.jpg	EMEC 609,711	P.D. Hurd		VI-2-5-1951	Cerceris chilopsidis V. & C.	U.C. Berkeley		Vallecillo N.L., Mex.	Mexico					1951-06-02/05					female	H.A.Scullen	52		
EMEC609722_Cerceris_convergens.jpg	EMEC 609,722	F.D.Parker		VII-16-50	Cerceris convergens V. & C.	U.C. Berkeley		Cathedral City Riverside Co. Calif.		California	Riverside			1964-07-16					male	H.A.Scullen	71		
EMEC609529_Cerceris_compacta.jpg	EMEC 609,529	Snelling		VI-28-53	Cerceris compacta compacta Cr.	U.C. Berkeley		1 Mi.E.Calexico, Imperial Co., Calif.						1953-06-28					male	H.A.Scullen	1964	on Melilotus alba	
EMEC609709_Cerceris_convergens.jpg	EMEC 609,709	J MacSwain		V-25-50	Cerceris convergens V.&C.	U.C. Berkeley		Mt. Hamilton Santa Clara Co. Cal.	California	Santa Clara				1950-05-25				Eriodictyon	female	H.A.Scullen	62		
EMEC609564_Cerceris_compacta.jpg	EMEC 609,564	J. W. MacSwain		VIII-6-50	Cerceris compacta Cr.	U. C. Berkeley		Joseph City Navajo Co. Ariz		Arizona				1950-08-06				Asclepias	male	H. A.Scullen	1958		
EMEC609563_Cerceris_compacta.jpg	EMEC 609,563	J. W. MacSwain		VIII-6-50	Cerceris compacta Cr.	U. C. Berkeley		Joseph City Navajo Co. Ariz						1950-08-06					male	H. A. Scullen	1958		
EMEC609719_Cerceris_convergens.jpg	EMEC 609,719			7. 1925	Cerceris convergens V. & C.	U.C. Berkeley		Davis, Cal		California				1925-07					male	H.A.Scullen	71		
EMEC609881_Cerceris_convergens.jpg	EMEC 609,881	R.E.Coville		3-IX-1978		U.C. Berkeley		Ariz.:Cochise Co. Portal, 4.7 mi. SE, 4250'		Arizona	Cochise			1978-09-03									4250'
EMEC609589_Cerceris_compacta.jpg	EMEC 609,589	J.R.Powers		V-16-1979		U.C. Berkeley		15 kmS San Juan del Rio, Qro.,Mex.						1979-05-16									
EMEC609936_Stigmus_sp.jpg	EMEC 609,936 216056	ME Buegler E.I.Schlinger		VII-2-75		U.C. Berkeley	Univ. Calif. Insect Survey	CALIF:Mendocino Co. Inglenook Fen 4 mi.N.Ft.Bragg		California	Mendocino			7/2/1975									
EMEC609639_Cerceris_compar_compar.jpg	EMEC 609,639	Krombein		July 1,1934	Cerceris compar Cr	U.C. Berkeley		Salamanca N.Y.		New York				1934-07-01					male	H.A.Scullen	41		
EMEC609785_Cerceris_convergens.jpg	EMEC 609,785	E.G Linsley		8-8 59	Cerceris convergens V.& C.	U.C. Berkeley		1.5mi,NE,Portal, 8-8 59ARIZ 5000'		Arizona				1959-08-08				on Acacia	male	H.A.Scullen	61		5000'
EMEC609733_Cerceris_convergens.jpg	EMEC 609,733	N.W.Frazier		VI-14 1937	Cerceris convergens V. & C.	U.C. Berkeley		Lone Pine Inyo Co., Calif.		California	Inyo			1937-06-14					male	H.A.Scullen	71		
EMEC609862_Cerceris_convergens.jpg	EMEC 609,862	R. R. Snelling		August 17 1954	Cerceris convergens V.& C.	U.C. Berkeley		Lancaster Los Angeles Co.Calif.		California	Los Angeles			1954-08-17					male	H.A.Scullen	62		
EMEC609958_Timberlakena_yucaipa.jpg	EMEC 609,958	Powell		VIII-21-81		U.C. Berkeley		CAL:Antioch Natl. Wildl. Pres. (LC), Contra Costa Co.		California	Contra Costa			1981-08-21				Eriogonum nudum					
EMEC609764_Cerceris_convergens.jpg	EMEC 609,764	J. W. MacSwain		VII-2-53	Cerceris convergens V.& C.	U.C. Berkeley		Mazourka Canyon Inyo Co. Cal.		California	Inyo			1953-07-02					female	H.A.Scullen	57		
EMEC609897_Cerceris_convergens.jpg	EMEC 609,897	R.O.Schuster		VI-23-56		U.C. Berkeley		Watts Valley Fresno Co. Calif.		California	Fresno			1956-06-23									
EMEC609643_Cerceris_completa.jpg	EMEC 609,643	D.D.Linsdale		VI-6-59	Cerceris completa Bks	U.C. Berkeley		Arroyo Mocho,20 mi.S.Livermore Alameda Co. Calif.		California				1959-06-06					male	H.A.Scullen	62		
EMEC609951_Stigmus_sp.jpg	EMEC 609,951	H. V. Daly		May 10, 1991		U.C. Berkeley		"CA:Contra Costa Co. Kensington, 690 ft. 37 deg 54' 26"" N 122 deg 16' 32"" W"				"37 deg 54' 26"" N"	"122 deg 16' 32"" W"	1991-05-10		37.90722	-122.27556	Malaise Trap					690 ft.
EMEC609795_Cerceris_convergens.jpg	EMEC 609,795	R. S. Beal		VI-22-53	Cerceris convergens V.& C.	U.C. Berkeley		Borrego San Diego Co. Calif.		California	San Diego			1953-07-22					male	H.A.Scullen	60		
EMEC609874_Cerceris_convergens.jpg	EMEC 609,874	P. D. Hurd		VII-4-66	Cerceris convergens V.& C.	U.C. Berkeley		MEX:Baja Calif. Sur, La Pas, 7 mi. SW,						1966-07-04				Wislizenia refracta var. mammillata	female	H.A.Scullen	67		
EMEC609675_Cerceris_conifrons.jpg	EMEC 609,675	J. W. MacSwain		VIII-6-50	Cerceris conifrons Mick.	U.C. Berkeley		Joseph City Navajo Co. Ariz		Arizona	Navajo			1950-08-06					male	H.A.Scullen	61		
EMEC609912_Stigmus_sp.jpg	EMEC 609,912	J.Doyen		V-2-74		U.C. Berkeley		CALIF:S.L.O.Co. Dune Lakes, 3 mi S.Oceano		California	San Luis Obispo			1974-05-02				on Salix					
EMEC609758_Cerceris_convergens.jpg	EMEC 609,758	C. D. Michener		9-30-34	Cerceris convergens V.& C.	U.C. Berkeley		Altadena, Calif.		California				1934-09-30					female	H.A.Scullen	38		
EMEC609661_Cerceris_completa.jpg	EMEC 609,661	J.R.Powers		VI-4-60		U.C. Berkeley		Arroyo Mocho, 20 mi. S. Livermore Alameda Co. Calif.		California	Alameda			1960-06-04									
EMEC609828_Cerceris_convergens.jpg	EMEC 609,828	P. D. Hurd		V-3-1956	Cerceris convergens V.& C.	U.C. Berkeley		Borrego,Calif S.Diego,Co.		California	San Diego			1956-05-03				Eriogonum inflatum	male	H.A.Scullen	57		
EMEC609683_Cerceris_conifrons.jpg	EMEC 609,683	E.G Linsley		8-8 59	Cerceris conifrons Mick.	U.C. Berkeley		1.5mi,NE,Portal 8-8 59ARIZ5000'		Arizona				1959-08-08					male	H.A.Scullen	61	on Acacia	5000'
EMEC609705_Cerceris_conifrons.jpg	EMEC 609,705	J.M. Davidson M.A. Cazier		VI-28-66	Cerceris conifrons Mickel Paraeyella filifolia Torr.&Gray	U.C. Berkeley		Hotevilla Navajo Co.Ariz 7000'	Arizona	Navajo				1953-04-22/23					female	JM Davidson	68		7000'
EMEC609934_Stigmus_sp.jpg	EMEC 609,934	A. Raske C. Slobodchikoff		VIII-7/9-65		U.C. Berkeley		COSTA RICA Turrialba	Costa Rica					1965-08-07/09									
EMEC609839_Cerceris_convergens.jpg	EMEC 609,839	J. W. MacSwain		VII-2 53	Cerceris convergens V.& C.	U.C. Berkeley		Mazourka Canyon Inyo Co. Cal.		California	Inyo			1953-07-02					male	H.A.Scullen	58		
EMEC609879_Cerceris_convergens.jpg	EMEC 609,879	P. D. Hurd AE&MM Michelbacher		IX-15-1974	Cerceris convergens V.& C.	U.C. Berkeley		Ariz:Cochise Co. Sierra Vista,		Arizona	Cochise			1974-09-15				Isocoma tenuisecta	male	Ferguson	81		
EMEC609928_Stigmus_sp.jpg	EMEC 609,928	R.Dietz, J.Hafernik		V-23-76		U.C. Berkeley		CALIF:Humboldt Co. 3 mi.N Garberville		California	Humboldt			1976-05-23									
EMEC609987_Aphilanthops_foxi.jpg	EMEC 609,987	P. D. Hurd		IV-29-52		U.C. Berkeley		Hopkins Well Riverside Co. Calif.		California	Riverside			1952-04-29									
