filename	dwc:recordedBy
EMEC609803_Cerceris_convergens.jpg	O. C. La France
EMEC609815_Cerceris_convergens.jpg	R.M.Bohart
EMEC609816_Cerceris_convergens.jpg	E.G. Linsley
EMEC609826_Cerceris_convergens.jpg	M.Wasbauer
EMEC609828_Cerceris_convergens.jpg	P. D. Hurd
EMEC609836_Cerceris_convergens.jpg	G. A. Marsh
EMEC609839_Cerceris_convergens.jpg	J. W. MacSwain
EMEC609841_Cerceris_convergens.jpg	J. W. MacSwain
EMEC609848_Cerceris_convergens.jpg	P. D. Hurd
EMEC609853_Cerceris_convergens.jpg	R.H.Goodwin
EMEC609857_Cerceris_convergens.jpg	J.W.MacSwain
EMEC609861_Cerceris_convergens.jpg	R. R. Snelling
EMEC609862_Cerceris_convergens.jpg	R. R. Snelling
EMEC609867_Cerceris_convergens.jpg	E. I. Schlinger
EMEC609874_Cerceris_convergens.jpg	P. D. Hurd
EMEC609879_Cerceris_convergens.jpg	P. D. Hurd AE&MM Michelbacher
EMEC609880_Cerceris_convergens.jpg	R.E.Coville
EMEC609881_Cerceris_convergens.jpg	R.E.Coville
EMEC609882_Cerceris_convergens.jpg	R.Rude
EMEC609885_Cerceris_convergens.jpg	J.W.MacSwain
EMEC609889_Cerceris_convergens.jpg	W.J.Turner
EMEC609890_Cerceris_convergens.jpg	W.J.Turner
EMEC609897_Cerceris_convergens.jpg	R.O.Schuster
EMEC609900_Stigmus_sp.jpg	J.R.Powers
EMEC609902_Stigmus_sp.jpg	J.R.Powers
EMEC609903_Stigmus_sp.jpg	S.Szerlip R.Coville, J.Powell
EMEC609908_Stigmus_sp.jpg	R.Dietz, J.Hafernik
EMEC609910_Stigmus_sp.jpg	R.Wharton & R.Coville
EMEC609912_Stigmus_sp.jpg	J.Doyen
EMEC609914_Stigmus_sp.jpg	J.Powell
EMEC609916_Stigmus_sp.jpg	R. Wharton
EMEC609918_Stigmus_sp.jpg	R.Coville
EMEC609921_Stigmus_sp.jpg	E.Rogers
EMEC609924_Stigmus_sp.jpg	E. Schlinger
EMEC609926_Stigmus_sp.jpg	E. Schlinger
EMEC609928_Stigmus_sp.jpg	R.Dietz, J.Hafernik
EMEC609930_Stigmus_sp.jpg	R. Coville
EMEC609933_Stigmus_sp.jpg	R. Coville
EMEC609934_Stigmus_sp.jpg	A. Raske C. Slobodchikoff
EMEC609935_Stigmus_sp.jpg	ME Buegler E.I.Schlinger
EMEC609936_Stigmus_sp.jpg	ME Buegler E.I.Schlinger
EMEC609939_Stigmus_sp.jpg	W.Middlekauff
EMEC609944_Stigmus_sp.jpg	M.Wasbauer
EMEC609945_Stigmus_sp.jpg	M.Wasbauer
EMEC609951_Stigmus_sp.jpg	H. V. Daly
EMEC609952_Stigmus_sp.jpg	H. V. Daly
EMEC609958_Timberlakena_yucaipa.jpg	Powell
EMEC609963_Timberlakena_yucaipa.jpg	J.Powell
EMEC609968_Timberlakena_yucaipa.jpg	Powell
EMEC609976_Timberlakena_yucaipa.jpg	Powell
EMEC609987_Aphilanthops_foxi.jpg	P. D. Hurd
EMEC609997_Aphilanthops_foxi.jpg	E.G.Linsley JWMacSwain R.F.Smith
NY_00020326.jpg	T. A. Zanoni, D. Atha & M. Vives
NY_00040685.jpg	Daniel Atha Thomas A. Zanoni, José Cedeño
NY_00040904.jpg	Eirik Stijfhoorn, G. A. Eidesen and H. T. Beck
NY_00040919.jpg	James Higgins, Prosper Paris
NY_00191205.jpg	J. Higgins Prosper Paris
NY_00198945.jpg	STEWARDSON BROWN N. L. BRITTON E. J. WORTLEY
NY_00198980.jpg	E. G. BRITTON DELIA W. MARBLE
NY_00198985.jpg	Santiago Peláez Feucht.
NY_00198990.jpg	Elbert L. Little Jr., Roy O. Woodbury
NY_00198993.jpg	J.G. Jack
NY_00198997.jpg	M. Mejía, T. Zanoni
NY_00227158.jpg	William R. Buck and Thomas A. Zanoni
NY_00227183.jpg	William R. Buck and Thomas A. Zanoni
NY_00385378.jpg	George R. Proctor Fred Burton
NY_00413475.jpg	M.Mejia, T. Zanoni
NY_00413589.jpg	Steven R. Hill
NY_00499088.jpg	N.L. BRITTON E.G. BRITTON C.S. GAGER
NY_00499439.jpg	STEWARDSON BROWN N.L. BRITTON
NY_00499577.jpg	Bro. Alain H. Liogier
NY_00532999.jpg	T. Zanoni, F. Jiménez
NY_00617142.jpg	T. Zanoni, J. Pimentel, R. García
NY_00617450.jpg	R. A. & E. S. Howard
NY_00629823.jpg	N. L. Britton J. F. Cowell
NY_00641566.jpg	Thomas R. Söderström
NY_00754868.jpg	G.J. Breckon M. Breckon
NY_00754870.jpg	Thomas R. Soderstrom & D.P. Armstrong
NY_00754872.jpg	Alain H. & Perfa Liogier & N.J.Melo.
NY_00819601.jpg	J. A. Shafer
NY_00819622.jpg	N. L. Britton B. H. Dutcher Stewardson Brown
NY_00819627.jpg	N. L BRITTON F. S. EARLE
NY_00819657.jpg	N. L. BRITTON E. G. BRITTON MARGARET S. BROWN
NY_01334304.jpg	D. S. Correll & John Popenoe
NY_01334306.jpg	D. S. Correll & R. K. Godfrey
NY_01334314.jpg	A. H. CURTISS
NY_01334318.jpg	D. L. Nickrent
NY_01334326.jpg	N. L. BRITTON L. J. K. BRACE
NY_01334328.jpg	L. M. ANDREWS
NY_01334334.jpg	T. Zanoni
NY_01334349.jpg	W. L. ABBOTT
NY_01334354.jpg	R. A. & E. S. Howard
NY_01334370.jpg	N. L. Britton F. S. Earle Percy Wilson
NY_01334374.jpg	George R. Cooley
NY_01334383.jpg	T. G. YUNCKER
NY_01334389.jpg	A.L.Stoffers
NY_01334391.jpg	Bro. Alain
NY_01334398.jpg	W.H.Hodge R.A.Howard
NY_01334403.jpg	GEORGE V. NASH, NORMAN TAYLOR
NY_01334407.jpg	D.S. Correll
NY_01334419.jpg	Fer-nández Casas Morales Valverde
NY_01334423.jpg	D. S. Correll
NY_01334433.jpg	C. WRIGHT
NY_01334438.jpg	R. García, F. Jimenez
NY_01334442.jpg	D. Burch
NY_01334446.jpg	L. M. ANDREWS
NY_01334450.jpg	R.A.Howard
NY_01334454.jpg	A. H. CURTISS
NY_01334464.jpg	ALFRED E. RICKSECKER
NY_01334466.jpg	PERCY WILSON
NY_01334473.jpg	Siri von Reis
NY_01334493.jpg	R. Lowden
NY_01334508.jpg	Brother Alain Liogier
NY_01334523.jpg	Bro. B.A. Lavastre
NY_01334531.jpg	H. H. & G. W. Smith
NY_01334543.jpg	N. L. BRITTON
NY_01497987.jpg	Bro. León
NY_01497989.jpg	M.López Figueiras
NY_01497992.jpg	N.L. BRITTON E.G. BRITTON
NY_01497997.jpg	J. A. SHAFER
NY_01498009.jpg	Elbert L. Little, Jr.
NY_01498025.jpg	C. WRIGHT
NY_01498027.jpg	C. WRIGHT
NY_01498031.jpg	George R. Proctor
NY_01498039.jpg	HAROLD E. BOX
NY_01498043.jpg	Stewardson Brown N. L. Britton
NY_01498062.jpg	A. H. CURTISS
NY_01498065.jpg	D. S. Correll & G. R. Proctor
NY_01498067.jpg	D. S. Correll & H. B. Correll
NY_01498069.jpg	Reben Sauleda Ralph M. & Patricia Adams
NY_01498080.jpg	N. L. BRITTON ARTHUR HOLLICK
NY_01498087.jpg	E.C.LEONARD
NY_01498090.jpg	D.S. Correll
NY_01498098.jpg	N.L. BRITTON J.F. COWELL CARLOS DE LA TORRE
NY_01498103.jpg	N.L. BRITTON PERCY WILSON BROTHER LEON
NY_01498110.jpg	R.A.Howard
NY_01498113.jpg	C. WRIGHT
NY_01498119.jpg	Bro. Alain
NY_01498124.jpg	Ruben & Diane Sauleda, R. & J. Lassiter
NY_01498127.jpg	Dr. Edward Palmer C. WRIGHT
NY_01498134.jpg	OTTO E. JENNINGS.
NY_01498139.jpg	C. WRIGHT
NY_01498142.jpg	D.S. Correll
NY_01498144.jpg	D.S. Correll John Popenoe & Paul H. Fluck
NY_01498155.jpg	H. H. & G. W. SMITH. COMM. F. D. GODMAN, F.R.S.
NY_01498166.jpg	Sue A. Thompson, John E. Rawlins
NY_01498168.jpg	D. S. Correll
NY_01498171.jpg	J.K. SMALL J.J. CARTER
NY_01498176.jpg	N.L. BRITTON AND J.F. COWELL
NY_01498186.jpg	Walter H. Lewis
NY_01498191.jpg	D.S.Correll & G.R. Proctor
NY_01498198.jpg	Walter H. Lewis
NY01075759_lg.jpg	Richard C. Harris
NY01075760_lg.jpg	Richard C. Harris
NY01075762_lg.jpg	William R. Buck
NY01075763_lg.jpg	R. C. Harris
NY01075764_lg.jpg	Richard C. Harris
NY01075765_lg.jpg	Roland Thaxter
NY01075766_lg.jpg	R.T. Wilce
NY01075766_lg.jpg	R.T. Wilce
NY01075767_lg.jpg	M. Sherwood & E. Kneiper
NY01075768_lg.jpg	William R. Buck
NY01075769_lg.jpg	Wayne P. Armstrong
NY01075770_lg.jpg	Lee Bonar
NY01075771_lg.jpg	William R. Buck
NY01075773_lg.jpg	William R. Buck
NY01075774_lg.jpg	William R. Buck
NY01075775_lg.jpg	W. A. Weber
NY01075776_lg.jpg	William R. Buck
NY01075777_lg.jpg	William R. Buck
NY01075779_lg.jpg	Richard C. Harris
NY01075780_lg.jpg	C. M. Wetmore
NY01075781_lg.jpg	William R. Buck
NY01075782_lg.jpg	I.M. Brodo with M.J. Shchepanek and W. B. Schofield
NY01075785_lg.jpg	Richard C. Harris
NY01075786_lg.jpg	Richard C. Harris
NY01075787_lg.jpg	Richard C. Harris
NY01075788_lg.jpg	William R. Buck
NY01075789_lg.jpg	William R. Buck
NY01075790_lg.jpg	Shirley C. Tucker
NY01075791_lg.jpg	A. B. Langlois
NY01075792_lg.jpg	Clifford M. Wetmore
NY01075794_lg.jpg	G. T. Johnson
NY01075795_lg.jpg	G. T. Johnson
NY01075797_lg.jpg	William R. Buck
NY01075798_lg.jpg	Richard C. Harris
NY01075802_lg.jpg	H. W. Ravenel
NY01075803_lg.jpg	H.W.Ravenel
NY01075805_lg.jpg	H.W.Ravenel
NY01075806_lg.jpg	G. T. Johnson
NY01075812_lg.jpg	William R. Buck
NY01075813_lg.jpg	Richard C. Harris
NY01075814_lg.jpg	Richard C. Harris
NY01075815_lg.jpg	Richard C. Harris
NY01075816_lg.jpg	William R. Buck
NY01075817_lg.jpg	William R. Buck
NY01075818_lg.jpg	William R. Buck
NY01075819_lg.jpg	William R. Buck
NY01075820_lg.jpg	William R. Buck
NY01075821_lg.jpg	Richard C. Harris
NY01075822_lg.jpg	William R. Buck
NY01075823_lg.jpg	R. Yahr
NY01075827_lg.jpg	Richard C. Harris
NY01075828_lg.jpg	Richard C. Harris
NY01075829_lg.jpg	Richard C. Harris
NY01075830_lg.jpg	Richard C. Harris
NY01075831_lg.jpg	Richard C. Harris
NY01075837_lg.jpg	Richard C. Harris
NY01075839_lg.jpg	Richard C. Harris
NY01075840_lg.jpg	Edward M. Wheeler
NY01075841_lg.jpg	Edward M. Wheeler
TENN-L-0000001_lg.jpg	W. A. Weber
TENN-L-0000002_lg.jpg	WALTER KIENER
TENN-L-0000003_lg.jpg	H.A. Sierk
TENN-L-0000004_lg.jpg	H.A. Sierk
TENN-L-0000005_lg.jpg	W. A. Weber, R. A. Anderson & D. D. Awasthi
TENN-L-0000006_lg.jpg	Walter Kiener
TENN-L-0000007_lg.jpg	Walter Kiener
TENN-L-0000008_lg.jpg	Walter Kiener
TENN-L-0000009_lg.jpg	S. FLOWERS
TENN-L-0000010_lg.jpg	WALTER KIENER
TENN-L-0000012_lg.jpg	J. L. Lebois Fonseca
TENN-L-0000013_lg.jpg	M. Togashi
TENN-L-0000014_lg.jpg	H. Kashiwadani (no. 16298) and Y. Endo
TENN-L-0000015_lg.jpg	A. J. Sharp
TENN-L-0000016_lg.jpg	Barbara Moore
TENN-L-0000017_lg.jpg	Barbara Moore
TENN-L-0000018_lg.jpg	Barbara Moore
TENN-L-0000019_lg.jpg	A.J. Sharp
TENN-L-0000020_lg.jpg	A.J. Sharp
TENN-L-0000021_lg.jpg	A.J. Sharp
TENN-L-0000022_lg.jpg	A.J. Sharp
TENN-L-0000027_lg.jpg	H. A. Sierk
TENN-L-0000028_lg.jpg	H. A. Sierk
TENN-L-0000029_lg.jpg	Dr. & Mrs. A. J. Sharp, Z. Iwatsuki & I. Yoshimura
TENN-L-0000030_lg.jpg	A. J. Sharp
TENN-L-0000032_lg.jpg	H. A. Sierk
TENN-L-0000033_lg.jpg	M. E. Hale
TENN-L-0000035_lg.jpg	Dr. & Mrs. A. J. Sharp, Z. Iwatsuki & I. Yoshimura
TENN-L-0000036_lg.jpg	H. A. Sierk
TENN-L-0000041_lg.jpg	Mason E. Hale & Isao Yoshimura
TENN-L-0000042_lg.jpg	Dr. & Mrs. A. J. Sharp, Z. Iwatsuki & I. Yoshimura
TENN-L-0000043_lg.jpg	A.J. Sharp
TENN-L-0000044_lg.jpg	A. J. Sharp and Z. Iwatsuki
TENN-L-0000045_lg.jpg	H. & V. Bailey
TENN-L-0000046_lg.jpg	A. J. Sharp
TENN-L-0000047_lg.jpg	A. J. Sharp and Z. Iwatsuki
TENN-L-0000048_lg.jpg	Hugh Iltis
TENN-L-0000049_lg.jpg	H. & V. Bailey
TENN-L-0000050_lg.jpg	H. & V. Bailey
TENN-L-0000051_lg.jpg	A. J. Sharp
TENN-L-0000052_lg.jpg	H. & V. Bailey
TENN-L-0000053_lg.jpg	A. C. Skorepa
TENN-L-0000054_lg.jpg	A.J. Sharp
TENN-L-0000055_lg.jpg	G.Gardner, P.Desroches
TENN-L-0000056_lg.jpg	C.E.Garton
TENN-L-0000057_lg.jpg	Donald Richards and Francis Drouet
TENN-L-0000058_lg.jpg	E. Hall
TENN-L-0000059_lg.jpg	J. W. Thomson & J. A. Larsen
TENN-L-0000061_lg.jpg	W.W.Jeffrey
TENN-L-0000063_lg.jpg	Edward Tuckerman
TENN-L-0000064_lg.jpg	H. A. Sierk
TENN-L-0000065_lg.jpg	A. J. Sharp
TENN-L-0000068_lg.jpg	L.P. Lord
TENN-L-0000072_lg.jpg	Walter Kiener
TENN-L-0000073_lg.jpg	J.W.Thomson J.A. Larsen
TENN-L-0000074_lg.jpg	A.J. Sharp
TENN-L-0000075_lg.jpg	Samuel Brisson et Philippe Forest
TENN-L-0000076_lg.jpg	John W. Thomson
TENN-L-0000077_lg.jpg	A.J. Sharp
TENN-L-0000079_lg.jpg	L.P. Lord
TENN-L-0000080_lg.jpg	M. E. Hale
TENN-L-0000083_lg.jpg	H. A. Sierk
TENN-L-0000084_lg.jpg	Barbara Moore
TENN-L-0000087_lg.jpg	Barbara Moore
TENN-L-0000089_lg.jpg	Walter Kiener
TENN-L-0000090_lg.jpg	E. Clebsch
TENN-L-0000091_lg.jpg	A.J. Sharp
TENN-L-0000093_lg.jpg	John Koranda
TENN-L-0000095_lg.jpg	E. Clebsch
TENN-L-0000097_lg.jpg	A. J. Sharp
TENN-L-0000098_lg.jpg	Albert Legault, Samuel Brisson
TENN-L-0000099_lg.jpg	J.W. Thomson & J.A. Larsen
WIS-L-0011726_lg.jpg	S. S. Talbot & W.B. Schofield
WIS-L-0011727_lg.jpg	Stephen S. Talbot
WIS-L-0011728_lg.jpg	Stephen S. Talbot
WIS-L-0011729_lg.jpg	Stephen Talbot & Sandra Looman
WIS-L-0011730_lg.jpg	Stephen S. Talbot
WIS-L-0011731_lg.jpg	C. Derr
WIS-L-0011732_lg.jpg	Stephen & Sandra Talbot
WIS-L-0011733_lg.jpg	N. Grulke
WIS-L-0011734_lg.jpg	Stephen S. Talbot
WIS-L-0011735_lg.jpg	C.E. Garton
WIS-L-0011736_lg.jpg	Stephen Talbot & Sandra Looman
WIS-L-0012025_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012026_lg.jpg	Stephen Talbot & Sandra Looman
WIS-L-0012027_lg.jpg	Stephen Talbot & Sandra Looman
WIS-L-0012028_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012029_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012030_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012031_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012032_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012033_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012034_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012035_lg.jpg	Stephen Talbot & Sandra Looman
WIS-L-0012036_lg.jpg	Stephen Talbot & Sandra Looman
WIS-L-0012037_lg.jpg	Stephen Talbot & Sandra Looman
WIS-L-0012038_lg.jpg	C.E.Garton
WIS-L-0012039_lg.jpg	Stephen Talbot & Sandra Looman
WIS-L-0012040_lg.jpg	N. Grulke
WIS-L-0012041_lg.jpg	Stephen S. Talbot
WIS-L-0012042_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012043_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012044_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012045_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012046_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012047_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012048_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012049_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012050_lg.jpg	Stephen S. Talbot & Sandra L. Talbot
WIS-L-0012051_lg.jpg	Stephen S. Talbot
WIS-L-0012052_lg.jpg	Stephen S. Talbot
WIS-L-0012053_lg.jpg	Stephen S. Talbot
WIS-L-0012054_lg.jpg	Stephen S. Talbot
WIS-L-0012055_lg.jpg	Stephen S. Talbot
WIS-L-0012056_lg.jpg	Stephen S. Talbot
WIS-L-0012057_lg.jpg	Stephen S. Talbot
WIS-L-0012058_lg.jpg	Stephen S. Talbot
WIS-L-0012059_lg.jpg	Stephen S. Talbot & Sandra L. Talbot
WIS-L-0012060_lg.jpg	Stephen S. Talbot
WIS-L-0012061_lg.jpg	E. Wilder
WIS-L-0012062_lg.jpg	Stephen S. Talbot
WIS-L-0012063_lg.jpg	K.Dillman
WIS-L-0012064_lg.jpg	Stephen S. Talbot
WIS-L-0012065_lg.jpg	Stephen S. Talbot
WIS-L-0012067_lg.jpg	Stephen S. Talbot & Sandra L. Talbot
WIS-L-0012068_lg.jpg	Stephen S. Talbot
WIS-L-0012069_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012070_lg.jpg	Stephen S. Talbot
WIS-L-0012071_lg.jpg	L.Geiser
WIS-L-0012072_lg.jpg	C.E.Garton
WIS-L-0012073_lg.jpg	C.E.Garton
WIS-L-0012074_lg.jpg	C.E.Garton
WIS-L-0012075_lg.jpg	Stephen S. Talbot
WIS-L-0012076_lg.jpg	Stephen S. Talbot
WIS-L-0012077_lg.jpg	N. Grulke
WIS-L-0012078_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012082_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012083_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012084_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012085_lg.jpg	Stephen & Sandra Talbot
WIS-L-0012086_lg.jpg	Stephen & Sandra Talbot
