filename	dwc:catalogNumber	dwc:recordedBy	dwc:recordNumber	dwc:verbatimCoordinates	dwc:verbatimEventDate	dwc:eventDate	dwc:municipality	dwc:county	dwc:stateProvince	dwc:country	aocr:verbatimScientificName	dwc:scientificName	dwc:verbatimLocality	dwc:habitat	dwc:substrate	dwc:verbatimElevation	dwc:identifiedBy	dwc:dateIdentified	dwc:verbatimLatitude	dwc:verbatimLongitude	dwc:decimalLatitude	dwc:decimalLongitude	aocr:verbatimInstitution	dwc:datasetName	dwc:fieldNotes	dwc:sex	dwc:occurrenceRemarks	dwc:associatedTaxa
NY01075789_lg.jpg	1075789	William R. Buck	30582	31°44'N, 82°50'W	18 September 1996	1996-09-18		Coffee	Georgia	U.S.A.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Broxton Rocks Ecological Preserve, Ricketson Tract, ca. 10 mi NE of Broxton, 31°44'N, 82°50'W, ca. 70 m	on Cyrilla extensive sandstone outcrops with mesic oak forest.	on Cyrilla	ca. 70 m			31°44'N	82°50'W	31.733	-82.833	NEW YORK BOTANICAL GARDEN	Cryptogams of Georgia				
TENN-L-0000056_lg.jpg	TENN-L-0000056	C.E.Garton	6703		4 Aug. 1959	1959-08-04		THUNDER BAY	ONTARIO	CANADA	Alectoria bicolor (Ehrh.) Nyl.	Alectoria bicolor (Ehrh.) Nyl.	Birch I. at extreme SW. corner of St. Ignace I. PORT ARTHUR	Pendant upon N.-facing lakeshore cliff.			Mason E. Hale	1960-02					University of Tennessee (TENN)	PLANTS OF ONTARIO				
TENN-L-0000068_lg.jpg	TENN-L-0000068	L.P. Lord			22 June 1955	1955-06-22		Cheboygan	MICHIGAN	USA	Alectoria jubata (L.) Ach.	Alectoria jubata (L.) Ach.	edge of road near gorge	bark, edge of road near gorge	bark		L.P. Lord						University of Tennessee (TENN)	LICHENS OF MICHIGAN				
WIS-L-0012072_lg.jpg		C.E.Garton	11640	N. 48° 48' W.88° 40'	5 June 1969	1969-06-05	Thunder Bay	Thunder Bay Dist.	ONTARIO	Canada	Cetrelia chicitae (W. Culb.) W. Culb. & C. Culb.	Cetrelia chicitae (W. Culb.) W. Culb. & C. Culb.	Bottom of Ouimet Canyon .8 km. E. of parking lot, 10 km. W. of Dorion P.O., Dorion Twp.	On basaltic rock face.	On basaltic rock face.		P.Y.Wong	1975-11	N. 48° 48'	W.88° 40'	48.8	-88.667		PLANTS OF ONTARIO				
TENN-L-0000022_lg.jpg	TENN-L-0000022	A.J. Sharp			23 July 1955	1955-07-23			Ontario	CANADA	Actinogyra mühlenbergii	Actinogyra mühlenbergii	Chippewa Falls				ISAO YOSHIMURA						University of Tennessee (TENN)	FLORA OF CANADA				
WIS-L-0011728_lg.jpg		Stephen S. Talbot	T1013-15	60°28'N, 151°00'W	10 July 1981	1981-07-10			ALASKA	USA	Cetraria islandica (L) Ach.	Cetraria islandica (L) Ach.	Funny River Road; Kenai NWR	Lowland Picea mariana - Ledum decumbens - Sphagnum fuscum bog		120 ft.			60°28'N	151°00'W	60.467	-151		FLORA OF ALASKA				
TENN-L-0000008_lg.jpg	TENN-L-0000008	Walter Kiener	6157	Lat.40° N	July 18,1937	1937-07-18			COLORADO	U.S.A.	Acarospora Schleicheri (Ach.) Mass.	Acarospora Schleicheri (Ach.) Mass.	Rocky Mountain National Park Longs Peak. 11,650 ft.	On ground in climax Elynetum.	On ground	11,650 ft.			Lat.40° N		40		University of Tennessee (TENN)	Lichens of COLORADO				
NY01075774_lg.jpg	1075774	William R. Buck		T35N, R3E, S22	18 July 1974	1974-07-18		Presque Isle	MICHIGAN	USA	Pyrenocollema tichothecioides (Arn.) Harris	Pyrenocollema tichothecioides (Arn.) Harris	Submerged on calcareous rock at Ocqueoc Falls. T35N, R3E, S22.	Submerged on calcareous rock	on calcareous rock								NEW YORK BOTANICAL GARDEN	PLANTS OF MICHIGAN				
WIS-L-0012053_lg.jpg		Stephen S. Talbot	248	"66°35'17.9"" N 158°59'38.7"" W"	21 July 2003	2003-07-21			ALASKA	USA	Cetraria laevigata Rass.	Cetraria laevigata Rass.	Selawik NWR Quad. Map Shungnak (C-1) Alaska	Eriophorum vaginatum-Ledum decumbens bog		11 ft	John W. Thomson	2003-11	"66°35'17.9"" N"	"158°59'38.7"" W"	66.588	-158.994		FLORA of ALASKA				
NY01075818_lg.jpg	1075818	William R. Buck	27352	30°04'N, 82°09'W	3 December 1994	1994-12-03		Bradford	FLORIDA	U.S.A	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Lake Butler Wildlife Management Area, Raiford Tract, along Co. Rd. 125, 6.1 mi ENE of US 301 at Lawtey, 30°04'N, 82°09'W	on Myrica cerifera pine scrub around Taxodium swamp.	on Myrica cerifera				30°04'N	82°09'W	30.067	-82.15	NEW YORK BOTANICAL GARDEN	CRYPTOGAMS OF FLORIDA				
NY01075829_lg.jpg	1075829	Richard C. Harris	31719-A	29°44'N, 82°46'W	5 December 1993	1993-12-05		Gilchrist	FLORIDA	U.S.A.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Waccasassa Flats, along Co. Rd. 232 ca. 1 mi W of St. Rd. 47 (ca. 6 mi E of US 129), ca. 8 mi NNE of Trenton, 29°44'N, 82°46'W	on Prunus disturbed oak scrub.	on Prunus				29°44'N	82°46'W	29.733	-82.767	NEW YORK BOTANICAL GARDEN	LICHENS OF FLORIDA				
WIS-L-0012039_lg.jpg		Stephen Talbot & Sandra Looman	845	60°09'N, 152°36'W	3 September 1987	1987-09-03			ALASKA	USA	Cetraria laevigata Rass.	Cetraria laevigata Rass.	Chisik Island, Cook Inlet Kenai (A7) Quadrangle	Low herb snowbed		1800 Feet			60°09'N	152°36'W	60.15	-152.6		FLORA OF ALASKA				
WIS-L-0012083_lg.jpg		Stephen & Sandra Talbot	SM97-095	60° 33.582'N 172° 56.445'W	19 July 1997	1997-07-19			Alaska	USA	Cetraria fastigiata (Del ex Nyl) in Durl) Karnof.	Cetraria fastigiata (Del ex Nyl) in Durl) Karnof.	Glory of Russia Cape area, St. Matthew Island, Alaska Quad. Map St. Matthew, Alaska Quad.	On peat mound in Carex aquatilis-Salix peatland	On peat mound in Carex aquatilis-Salix peatland	30 m	John W. Thomson	1998	60° 33.582'N	172° 56.445'W	60.56	-172.941		FLORA of ALASKA				
WIS-L-0012041_lg.jpg		Stephen S. Talbot	210	"66°33'41.6""N 158°59'56.6""W"	19 July 2003	2003-07-19	Shungnak		ALASKA	USA	Cetraria laevigata Rass.	Cetraria laevigata Rass.	Selawik NWR Quad. Map Shungnak (C-6) Alaska	Picea mariana-Ledum decumbens-Rubus chamaemorus-Sphagnum woodland bog		11 ft	John W. Thomson	2003-11	"66°33'41.6"" N"	"158° 59' 56.6"" W"	66.562	-158.999		FLORA of ALASKA				
WIS-L-0012061_lg.jpg		E. Wilder	L- 305		7 Aug 1991	1991-08-07			ALASKA	USA	Coelocaulon muricatum (Ach.) Laundon	Coelocaulon muricatum (Ach.) Laundon	Tongass National Forest/Ketchikan Area Misty Fiords National Monument, Lake McDonald T 68S, R 88E, KTN D-6, Sec,33 SE1/4 of NW 1/4	Pinus contorta, Vaccinium ssp., Empetrum nigrum, Fauria crista-galli, Juniperus communis, Rubus arcticus on ground	on ground	(m.) 61	L.Geisner	1992						LICHENS OF SOUTHEAST ALASKA				Pinus contorta, Vaccinium ssp., Empetrum nigrum, Fauria crista-galli, Juniperus communis, Rubus arcticus
WIS-L-0011732_lg.jpg		Stephen & Sandra Talbot	SM97-132	60° 33.579'N 172° 56.891'W	19 July 1997	1997-07-19	St. Matthew		ALASKA	USA	Cetraria kamczatica Savicz	Cetraria kamczatica Savicz	Glory of Russia Cape area, St. Matthew Island, Alaska Quad. Map St. Matthew, Alaska Quad	Empetrum nigrum-Cladina heath at base of mountain		30 m	John W. Thomson	1998	60° 33.579'N	172° 56.891'W	60.56	-172.948		FLORA of ALASKA				
NY01075813_lg.jpg	1075813	Richard C. Harris	2898-B		15 May 1967	1967-05-15		Dade	FLORIDA	USA	Arthopyrenia cinchonae (Ach.) Muell. Arg.	Arthopyrenia cinchonae (Ach.) Muell. Arg.	Everglades National Park, dry pinelands southwest of Pineland Trail Area.	dry pinelands									NEW YORK BOTANICAL GARDEN	LICHENS OF FLORIDA				
NY01075770_lg.jpg	1075770	Lee Bonar			21 August 1932	1932-08-21		San Francisco	California	USA	Arthopyrenia sublitoralis (Leight) Arn.	Arthopyrenia sublitoralis (Leight) Arn.	Land's End, San Francisco County.	On Acmaea digitalis Eschsch. Host determined by A. R. Grant.	On Acmaea digitalis Eschsch. Host determined by A. R. Grant.								NEW YORK BOTANICAL GARDEN	CALIFORNIA LICHENS				
WIS-L-0011729_lg.jpg		Stephen Talbot & Sandra Looman	850	60°09'N, 152°36'W	3 September 1987	1987-09-03			ALASKA	USA	Cetraria islandica (L) Ach.	Cetraria islandica (L) Ach.	Chisik Island, Cook Inlet Kenai (A7) Quadrangle	Low herb snowbed		1800 feet			60°09'N	152°36'W	60.15	-152.6		FLORA OF ALASKA				
NY01075827_lg.jpg	1075827	Richard C. Harris	23906		17 December 1988	1988-12-17		Duval	FLORIDA	USA	Ciferriolichen cinchonae (Ach.)	Ciferriolichen cinchonae (Ach.)	"Big Talbot Island State Park, along trail to ""Scrubby Bluff,"" 1.1 mi from N end of park, 2.2 mi from S end of park"	oak scrub grading into coastal hammock.									NEW YORK BOTANICAL GARDEN	LICHENS OF FLORIDA				
TENN-L-0000057_lg.jpg	TENN-L-0000057	Donald Richards and Francis Drouet	1315		September 19, 1941	1941-09-19		TRINITY	CALIFORNIA	USA	Alectoria Fremontii Tuck.	Alectoria Fremontii Tuck.	Weaver creek northwest of Weaverville Altitude ca. 2,200 feet	Hanging from trees		ca. 2,200 feet	C. W. Dodge	1943					University of Tennessee (TENN)	FLORA OF TRINITY COUNTY, CALIFORNIA				
WIS-L-0012026_lg.jpg		Stephen Talbot & Sandra Looman	851	60°09'N, 152°36'W	3 September 1987	1987-09-03			ALASKA	USA	Cetraria islandica (L) Ach.	Cetraria islandica (L) Ach.	Chisik Island, Cook Inlet Kenai (A7) Quadrangle	Low herb snowbed		1800 Feet			60°09'N	152°36'W	60.15	-152.6		FLORA OF ALASKA				
NY01075820_lg.jpg	1075820	William R. Buck	27105	29°59'N, 83°14'W	29 November 1994	1994-11-29		Lafayette	FLORIDA	U.S.A.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Along Fla Hwy 51, 5.7 mi S of US 27 at Mayo, 29°59'N, 83°14'W	hardwood swamp.					29°59'N	83°14'W	29.983	-83.233	NEW YORK BOTANICAL GARDEN	CRYPTOGAMS OF FLORIDA				
TENN-L-0000010_lg.jpg	TENN-L-0000010	WALTER KIENER	3670		July 25, 1936	1936-07-25			COLORADO	U. S. A.	Acarospora thamnina (Tuck.) Herre	Acarospora thamnina (Tuck.) Herre	ROCKY MOUNTAIN NATIONAL PARK Exposure W, NW. Longs Peak, top of Trough. 13,750 ft.	Crystalline rocks. Exposure W, NW. top of Trough.		13,750 ft.							University of Tennessee (TENN)	FLORA ROCKY MOUNTAIN NATIONAL PARK AND VICINITY				
TENN-L-0000054_lg.jpg	TENN-L-0000054	A.J. Sharp			16 July 1961	1961-07-16		LATAH	IDAHO	USA	Alectoria americana Mot.	Alectoria americana Mot.	On Moscow Mountain, 1/2 mi. above Gravel road, above Moscow				A. Skorepa						University of Tennessee (TENN)	BRYOPHYTES OF IDAHO				
WIS-L-0012057_lg.jpg		Stephen S. Talbot	225	"66°33'41.6""N 158°59'56.6""W"	19 July 2003	2003-07-19			ALASKA	USA	Cetraria laevigata Rass.	Cetraria laevigata Rass.	Selawik NWR Quad. Map Shungnak (C-6) Alaska	On feathermosses in Picea mariana-Vaccinium uliginosum/V. vitis-idaea-Pleurozium schreberi woodland	On feathermosses	11 ft	John W. Thomson	2003-11	"66°33'41.6""N"	"158°59'56.6""W"	66.562	-158.999		FLORA of ALASKA				
NY01075823_lg.jpg	1075823	R. Yahr	4486	29°35'N, 85°03'W	May 26, 1998	1998-05-26	Cape St. George	Franklin	Florida	USA	Arthopyrenia majuscula (Nyl.) Zahlbr. Arthopyrenia cinchonae (Ach.) Müll. Arg.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Little St. George Island, Cape St. George. 29°35'N, 85°03'W. In stable backdunes and swales of barrier island.	on Ilex cassine at pond edge	on Ilex cassine		Richard C. Harris	2003	29°35'N	85°03'W	29.583	-85.05	NEW YORK BOTANICAL GARDEN	Lichens of Cape St. George				
NY01075767_lg.jpg	1075767	M. Sherwood & E. Kneiper			July 1979	1979-07			Massachusetts	USA	Arthopyrenia litoralis (Leight.) Arn.	Arthopyrenia litoralis (Leight.) Arn.	Danes Beach, Beverly	On barnacles	On barnacles		M. Sherwood						NEW YORK BOTANICAL GARDEN					
WIS-L-0011726_lg.jpg		S. S. Talbot & W.B. Schofield	682	62° 52.053'N 141° 28.497'W	28 July 2001	2001-07-28			ALASKA	USA	Cetraria islandica (L) Ach.	Cetraria islandica (L) Ach.	Mile 1248 Alaska Hwy.; vicinity of Tetlin NWR Quad. Map Nabesna (D-1), Alaska	On peat in Picea mariana-Eriophorum vaginatum-Sphagnum girgensohnii peatland	On peat in Picea mariana-Eriophorum vaginatum-Sphagnum girgensohnii peatland	1,800 ft	John W. Thomson	2002-02	62° 52.053'N	141° 28.497'W	62.868	-141.475		FLORA of ALASKA				
NY01075803_lg.jpg	1075803	H.W.Ravenel			1857	1857			South Carolina	USA	Verrucaria lactea Garov. =Polyblastiopsis lactea(Mass.)A.Zahlbr. Arthopyrenia cinchonae (Ach.) Müll. Arg.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Santee Canal				Richard C. Harris	1986					NEW YORK BOTANICAL GARDEN	Lichens from the Tuckerman Herbarium				
WIS-L-0012058_lg.jpg		Stephen S. Talbot	228A	"66°33'41.6""N 158°59'56.6""W"	19 July 2003	2003-07-19			ALASKA	USA	Cetraria laevigata Rass.	Cetraria laevigata Rass.	Selawik NWR Quad. Map Shungnak (C-6) Alaska	Eriophorum vaginatum-Ledum decumbens-Rubus chamaemorus-Sphagnum bog		11 ft	John W. Thomson	2003-11	"66°33'41.6""N"	"158°59'56.6""W"	66.562	-158.999		FLORA of ALASKA				
WIS-L-0012048_lg.jpg		Stephen & Sandra Talbot	88004-26	60°09.6'N, 152°36.7'W	30 Aug 1988	1988-08-30			ALASKA	USA	Cetraria laevigata Rass.	Cetraria laevigata Rass.	Chisik Island, Tuxedni Bay, Cook Inlet; 60°09.6'N, 152°36.7'W Map/Quad.: Kenai (A-7) Quad.	Cladina rangiferina-Arctostaphylos alpina heath; slope 2°; NW exposure; rounded summit		2630 ft	John W.Thomson		60°09.6'N	152°36.7'W	60.16	-152.612		FLORA OF ALASKA				
WIS-L-0011727_lg.jpg		Stephen S. Talbot	119	54° 56.118' N 159° 16.987' W	15 July 1995	1995-07-15			ALASKA	USA	Cetraria islandica (L) Ach	Cetraria islandica (L) Ach	Simeonof Is.; Shumagin Islands, W slope of Hill 1021, Quad. Map Simeonof Island (D-1)	Empetrum nigrum-Salix arctica heath of upper-mountain slope		250 m	John W. Thomson	1997	54°56.118'N	159°16.987'W	54.935	-159.283	AKFWS HERBARIUM	FLORA of ALASKA				
NY01075830_lg.jpg	1075830	Richard C. Harris	35959	29°56'N, 82°26'W	4 December 1994	1994-12-04		Union	FLORIDA	U.S.A.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Worthington Springs, along Fla. Hwy. 121 just N of Santa Fe River, 29°56'N, 82°26'W	on Fraxinus mature oak woods along river.	on Fraxinus				29°56'N	82°26'W	29.933	-82.433	NEW YORK BOTANICAL GARDEN	LICHENS OF FLORIDA				
TENN-L-0000055_lg.jpg	TENN-L-0000055	G.Gardner, P.Desroches	22	Lat. 51° 52'N. Long. 68° 09'W.	14-8-67	1967-08-14		District de Gagnon	Québec	Canada	Alectoria americana Mot.	Alectoria americana Mot.							51° 52'N.	68° 09'W.	51.867	-68.15	University of Tennessee (TENN)	HERBIER GARDNER				
WIS-L-0011731_lg.jpg		C. Derr	L- 885	Section 18NW, T61S, R81E	1 Aug 1991	1991-08-01			ALASKA	USA	Cetraria islandica (L.) Ach.	Cetraria islandica (L.) Ach.	Tongass National Forest/ Stikine Area Mitkof Is. Crystal Mt. NE Ridge, Petersburg C-3, Section 18NW, T61S, R81E ALT. (m.) 805	ASSOC. PLANTS: Tsuga mertensiana, Vaccinium ssp., Picea sitchensis, Phyllodoce galnduliflora, Empetrum nigrum on ground	on ground	(m.) 805	C. Derr Verified B. McCune	1992						LICHENS OF SOUTHEAST ALASKA			CHEMICAL TESTS: P-	Tsuga mertensiana, Vaccinium ssp., Picea sitchensis, Phyllodoce galnduliflora, Empetrum nigrum,
TENN-L-0000087_lg.jpg	TENN-L-0000087	Barbara Moore	252		21 June 1963	1963-06-21		Haywood	NORTH CAROLINA	USA	Alectoria nidulifera Norrl.	Alectoria nidulifera Norrl.	GSMNP near Cataloochee camping area	rail fence	rail fence		Barbara Moore						University of Tennessee (TENN)	FLORA OF NORTH CAROLINA				
TENN-L-0000098_lg.jpg	TENN-L-0000098	Albert Legault, Samuel Brisson	8017	Circa 59° 17' N. 73° 25' W.	12 août 1965	1965-08-12		NOUVEAU-QUEBEC	QUEBEC	Canada	Alectoria ochroleuca (Ehrh.) Nyl	Alectoria ochroleuca (Ehrh.) Nyl	LAC PAYNE, Circa 59° 17' N. 73° 25' W. Toundra.	Toundra.			Mason Hale		59° 17' N.	73° 25' W.	59.283	-73.417	University of Tennessee (TENN)	LICHENS DU NOUVEAU-QUEBEC				
WIS-L-0012060_lg.jpg		Stephen S. Talbot	71	54° 54.875' N 159° 15.470' W	14 July 1995	1995-07-14			ALASKA	USA	Coelocaulon muricatum (Ach.) Laundon	Coelocaulon muricatum (Ach.) Laundon	Simeonof Is.; Shumagin Islands, Alaska; Hill 624 Quad. Map Simeonof Island (D-1), Alaska	On mosses in Anemone narcissiflora meadow below mountain ridge on south-facing slope	On mosses	250 m	John W. Thomson	1997	54° 54.875' N	159° 15.470' W	54.915	-159.258		FLORA of ALASKA				
NY01075840_lg.jpg	1075840	Edward M. Wheeler			25 Dec 1988	1988-12-25		Polk	FLORIDA	USA	Ciferriolichen cinchonae (Ach.)	Ciferriolichen cinchonae (Ach.)	Nalcrest, W. Leisure Lane opposite the water tower.	on dead persimmon branches	on dead persimmon branches								NEW YORK BOTANICAL GARDEN	LICHENS OF FLORIDA				
TENN-L-0000041_lg.jpg	TENN-L-0000041	Mason E. Hale & Isao Yoshimura	660350		April 10, 1966	1966-04-10		Dickenson	VIRGINIA	U. S. A.	Actinogyra muhlenbergii (Ach.) Llano	Actinogyra muhlenbergii (Ach.) Llano	Breaks Interstate Park.										University of Tennessee (TENN)	HATTORI-TENNESSEE COOPERATIVE BRYOGEOGRAPHIC COLLECTIONS, 1964-68				
NY01075795_lg.jpg	1075795	G. T. Johnson	1066A		January 2, 1953	1953-01-02		Oktibbeha	MISSISSIPPI	USA	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	In draw, along U.S. Highway #82. Eight mi. east of Stark- ville										NEW YORK BOTANICAL GARDEN	PLANTS OF MISSISSIPPI				
NY01075828_lg.jpg	1075828	Richard C. Harris	31614	29°41'N, 83°04'W	4 December 1993	1993-12-04		Dixie	FLORIDA	U.S.A.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Arthopyrenia cinchonae (Ach.) Müll. Arg.	Steinhatchee Wildlife Management Area, along Andrew Sauls Rd., ca. 0.4 mi N of Co. Rd. 351 just N of Scrub Creek Baptist Church, ca. 6 mi NE of Cross City, 29°41'N, 83°04'W	oak scrub and oak woods near pond.					29°41'N	83°04'W	29.683	-83.067	NEW YORK BOTANICAL GARDEN	LICHENS OF FLORIDA				
TENN-L-0000045_lg.jpg	TENN-L-0000045	H. & V. Bailey	84		July 3, 1939	1939-07-03		Flathead	Mont.	USA	ALECTORIA	ALECTORIA	Trail to Mount Brown Lookout			6000 ft.							University of Tennessee (TENN)	LICHENS OF GALCIER NATIONAL PARK				
WIS-L-0012049_lg.jpg		Stephen & Sandra Talbot	SM97-110	60° 33.458'N 172° 56.761'W	19 July 1997	1997-07-19			ALASKA	USA	Cetraria laevigata Rassad.	Cetraria laevigata Rassad.	Glory of Russia Cape area, St. Matthew Island, Alaska Quad. Map St. Matthew, Alaska Quad.	On mosses in rocky talus slope interspersed with Empetrum nigrum-Salix arctica heath	On mosses	100 m	John W. Thomson	1998	60° 33.458'N	172° 56.761'W	60.558	-172.946		FLORA of ALASKA				
WIS-L-0012046_lg.jpg		Stephen & Sandra Talbot	SM97-094B	60° 33.582'N 172° 56.445'W	19 July 1997	1997-07-19			ALASKA	USA	Cetraria laeviagata Rassad.	Cetraria laeviagata Rassad.	Glory of Russia Cape area, St. Matthew Island, Alaska St. Matthew, Alaska Quad	On peat mound in Carex aquatilis-Salix peatland		30m	John W. Thomson	1998	60° 33.582'N	172° 56.445'W	60.56	-172.941		FLORA of ALASKA				
TENN-L-0000076_lg.jpg	TENN-L-0000076	John W. Thomson	3935		September 1951	1951-09		Cook	Minn.	USA	Alectoria waduornikinana Geyel. (Alectoria altaica (Gyel.) Räs.)	Alectoria waduornikinana Geyel.	To the north shore of Lake Superior On cliff face, north side of Long Island Susie Islands	On cliff face	On cliff face								University of Tennessee (TENN)	LICHENS OF THE 1951 FORAY American Bryological Society				
TENN-L-0000020_lg.jpg	TENN-L-0000020	A.J. Sharp			8 Aug 1954	1954-08-08			Ontario	CANADA	Actinogyra	Actinogyra	Montreal River, 80 mi. nw. of Sault Saint Marie										University of Tennessee (TENN)	FLORA OF CANADA				
WIS-L-0011733_lg.jpg		N. Grulke	87-26	68°38'N, 149°34'W	August, 1987	1987-08			ALASKA	USA	Cetraria kamczatica Savica	Cetraria kamczatica Savica	North Slope Foothills of the Cen- tral Brooks Range (68°38'N,149°34'W), .5 km E of Toolik Lake at 635 m	moist tussock tundra domin- ated by Ledum palustre ssp. decumbens, Eriophorum vaginatum, Betula nana, and Vaccinium vitis-idaea		635 m			68°38'N	149°34'W	68.633	-149.567		PLANTS OF NORTHERN ALASKA				
